Datum;Mat1;Mat2;Mat3;Mat4;Mat5;Mat6;Mat7
2014-01-01;1152000,00;46500,00;4359,00;372,00;23130,00;0,00;0,00
2014-02-01;984000,00;47500,00;4554,00;631,00;23224,00;40000,00;0,00
2014-03-01;1248000,00;55550,00;4611,00;521,00;20866,00;40000,00;0,00
2014-04-01;870000,00;31500,00;5882,00;536,00;20595,00;40000,00;2080,00
2014-05-01;1464020,00;73500,00;6624,00;402,00;22966,00;40000,00;0,00
2014-06-01;1728370,00;43500,00;4975,00;511,00;22718,00;0,00;0,00
2014-07-01;2260220,00;70000,00;4011,00;706,00;21281,00;40000,00;0,00
2014-08-01;1586950,00;59500,00;4528,00;514,00;19558,00;0,00;2400,00
2014-09-01;1800800,00;67000,00;6607,00;515,00;24263,00;40000,00;0,00
2014-10-01;1248150,00;120000,00;6640,00;582,00;81848,00;80000,00;0,00
2014-11-01;1218000,00;43400,00;5427,00;554,00;25786,00;40000,00;0,00
2014-12-01;1320600,00;84004,00;3764,00;471,00;19506,00;0,00;3200,00
2015-01-01;1693650,00;62500,00;4902,00;745,00;21227,00;0,00;0,00
2015-02-01;1764000,00;140500,00;5626,00;1040,00;24676,00;40000,00;0,00
2015-03-01;1392450,00;143000,00;4353,00;1023,00;26219,00;0,00;0,00
2015-04-01;1104000,00;110000,00;5637,50;951,00;26141,78;40100,00;3520,00
2015-05-01;720000,00;107500,00;5047,00;876,00;24727,00;0,00;0,00
2015-06-01;960000,00;143500,00;6283,00;925,00;23291,00;40000,00;6400,00
2015-07-01;1662000,00;110000,00;6849,00;702,00;28169,00;0,00;3200,00
2015-08-01;2088000,00;126500,00;5305,00;491,00;27011,00;0,00;0,00
2015-09-01;1560000,00;139000,00;5412,00;1002,00;26791,00;40000,00;0,00
2015-10-01;1788000,00;147000,00;5750,00;1039,00;27721,00;0,00;0,00
2015-11-01;1476000,00;131000,00;5273,00;407,00;25697,00;0,00;8000,00
2015-12-01;1380000,00;86000,00;3507,00;670,00;19176,00;0,00;8000,00
2016-01-01;1632000,00;76000,00;7694,00;647,00;35892,00;40000,00;0,00
2016-02-01;1776000,00;199000,00;4825,00;1289,00;26063,00;0,00;4000,00
2016-03-01;2208000,00;243000,00;5168,00;800,00;25165,00;40000,00;0,00
